date,close
2016-08-11,4803.310059
2016-08-12,4807.080078
2016-08-15,4827.120117
2016-08-16,4797.189941
2016-08-17,4805.450195
2016-08-18,4808.680176
2016-08-19,4806.140137
2016-08-22,4808.560059
2016-08-23,4818.479980
2016-08-24,4783.490234
2016-08-25,4775.430176
2016-08-26,4783.689941
2016-08-29,4791.089844
2016-08-30,4775.990234
2016-08-31,4771.049805
2016-09-01,4783.939941
2016-09-02,4798.740234
2016-09-06,4829.509766
2016-09-07,4831.859863
2016-09-08,4804.000000
2016-09-09,4681.540039
2016-09-12,4764.649902
2016-09-13,4722.850098
2016-09-14,4746.060059
2016-09-15,4819.899902
2016-09-16,4818.049805
2016-09-19,4796.069824
2016-09-20,4805.220215
2016-09-21,4853.750000
2016-09-22,4891.359863
2016-09-23,4858.910156
2016-09-26,4817.169922
2016-09-27,4866.709961
2016-09-28,4875.270020
2016-09-29,4838.299805
2016-09-30,4875.700195
2016-10-03,4866.629883
2016-10-04,4859.470215
2016-10-05,4877.750000
2016-10-06,4873.919922
2016-10-07,4864.520020
2016-10-10,4893.770020
2016-10-11,4821.910156
2016-10-12,4819.640137
2016-10-13,4803.100098
2016-10-14,4808.479980
2016-10-17,4796.169922
2016-10-18,4839.720215
2016-10-19,4836.609863
2016-10-20,4832.709961
2016-10-21,4851.859863
2016-10-24,4909.970215
2016-10-25,4891.450195
2016-10-26,4860.589844
2016-10-27,4836.450195
2016-10-28,4805.589844
2016-10-31,4801.270020
2016-11-01,4766.939941
2016-11-02,4726.910156
2016-11-03,4679.100098
2016-11-04,4660.459961
2016-11-07,4773.729980
2016-11-08,4804.919922
2016-11-09,4825.180176
2016-11-10,4747.029785
2016-11-11,4751.950195
2016-11-14,4702.040039
2016-11-15,4764.470215
2016-11-16,4792.270020
2016-11-17,4826.589844
2016-11-18,4808.040039
2016-11-21,4859.000000
2016-11-22,4873.839844
2016-11-23,4853.859863
2016-11-25,4870.020020
2016-11-28,4857.020020
2016-11-29,4873.209961
2016-11-30,4810.810059
2016-12-01,4734.100098
2016-12-02,4739.370117
2016-12-05,4778.140137
2016-12-06,4788.669922
2016-12-07,4851.939941
2016-12-08,4859.189941
2016-12-09,4895.899902
2016-12-12,4874.299805
2016-12-13,4935.839844
2016-12-14,4921.220215
2016-12-15,4933.410156
2016-12-16,4914.859863
2016-12-19,4934.850098
2016-12-20,4953.799805
2016-12-21,4948.910156
2016-12-22,4934.390137
2016-12-23,4940.020020
2016-12-27,4965.810059
2016-12-28,4926.290039
2016-12-29,4918.279785
2016-12-30,4863.620117
2017-01-03,4911.330078
2017-01-04,4937.209961
2017-01-05,4964.950195
2017-01-06,5007.080078
2017-01-09,5024.899902
2017-01-10,5035.169922
2017-01-11,5050.209961
2017-01-12,5041.430176
2017-01-13,5059.509766
2017-01-17,5044.649902
2017-01-18,5055.850098
2017-01-19,5051.169922
2017-01-20,5063.200195
2017-01-23,5065.700195
2017-01-24,5101.060059
2017-01-25,5151.470215
2017-01-26,5156.919922
2017-01-27,5168.060059
2017-01-30,5129.330078
2017-01-31,5116.770020
2017-02-01,5152.689941
2017-02-02,5147.700195
2017-02-03,5161.600098
2017-02-06,5167.959961
2017-02-07,5185.879883
2017-02-08,5196.580078
2017-02-09,5212.160156
2017-02-10,5226.689941
2017-02-13,5256.819824
2017-02-14,5271.069824
2017-02-15,5302.390137
2017-02-16,5300.640137
2017-02-17,5324.720215
2017-02-21,5350.729980
2017-02-22,5352.129883
2017-02-23,5332.370117
2017-02-24,5343.310059
2017-02-27,5347.549805
2017-02-28,5330.310059
2017-03-01,5390.990234
2017-03-02,5363.259766
2017-03-03,5373.479980
2017-03-06,5360.310059
2017-03-07,5351.279785
2017-03-08,5359.810059
2017-03-09,5363.979980
2017-03-10,5385.899902
2017-03-13,5394.569824
2017-03-14,5382.169922
2017-03-15,5416.250000
2017-03-16,5412.080078
2017-03-17,5408.759766
2017-03-20,5413.310059
2017-03-21,5332.529785
2017-03-22,5367.549805
2017-03-23,5355.140137
2017-03-24,5364.000000
2017-03-27,5374.270020
2017-03-28,5407.209961
2017-03-29,5430.270020
2017-03-30,5439.740234
2017-03-31,5436.229980
2017-04-03,5432.200195
2017-04-04,5440.410156
2017-04-05,5418.520020
2017-04-06,5420.879883
2017-04-07,5418.370117
2017-04-10,5421.680176
2017-04-11,5398.399902
2017-04-12,5377.029785
2017-04-13,5353.589844
2017-04-17,5399.200195
2017-04-18,5391.660156
2017-04-19,5399.640137
2017-04-20,5443.529785
2017-04-21,5442.049805
2017-04-24,5508.029785
2017-04-25,5548.189941
2017-04-26,5541.089844
2017-04-27,5571.279785
2017-04-28,5583.529785
2017-05-01,5629.629883
2017-05-02,5644.069824
2017-05-03,5625.160156
2017-05-04,5626.319824
2017-05-05,5646.089844
2017-05-08,5659.069824
2017-05-09,5678.310059
2017-05-10,5681.680176
2017-05-11,5674.220215
2017-05-12,5686.810059
2017-05-15,5704.479980
2017-05-16,5724.439941
2017-05-17,5580.549805
2017-05-18,5626.310059
2017-05-19,5651.560059
2017-05-22,5699.399902
2017-05-23,5703.350098
2017-05-24,5730.299805
2017-05-25,5778.370117
2017-05-26,5788.359863
2017-05-30,5794.629883
2017-05-31,5788.799805
2017-06-01,5816.509766
2017-06-02,5881.459961
2017-06-05,5878.120117
2017-06-06,5856.770020
2017-06-07,5877.589844
2017-06-08,5885.299805
2017-06-09,5741.939941
2017-06-12,5708.180176
2017-06-13,5751.819824
2017-06-14,5727.069824
2017-06-15,5700.890137
2017-06-16,5681.479980
2017-06-19,5772.220215
2017-06-20,5726.310059
2017-06-21,5782.390137
2017-06-22,5779.870117
2017-06-23,5803.109863
2017-06-26,5777.589844
2017-06-27,5671.600098
2017-06-28,5753.029785
2017-06-29,5653.020020
2017-06-30,5646.919922
2017-07-03,5596.959961
2017-07-05,5648.819824
2017-07-06,5597.899902
2017-07-07,5656.470215
2017-07-10,5694.149902
2017-07-11,5709.799805
2017-07-12,5778.950195
2017-07-13,5793.359863
2017-07-14,5838.080078
2017-07-17,5839.740234
2017-07-18,5880.100098
2017-07-19,5916.160156
2017-07-20,5921.220215
2017-07-21,5921.529785
2017-07-24,5941.370117
2017-07-25,5930.649902
2017-07-26,5950.729980
2017-07-27,5917.029785
2017-07-28,5908.919922
2017-07-31,5880.330078
2017-08-01,5895.169922
2017-08-02,5914.229980
2017-08-03,5891.200195
2017-08-04,5899.910156
2017-08-07,5934.729980
2017-08-08,5926.350098
2017-08-09,5919.390137
2017-08-10,5788.189941
2017-08-11,5831.529785
2017-08-14,5908.169922
2017-08-15,5907.729980
2017-08-16,5917.419922
2017-08-17,5796.319824
2017-08-18,5790.910156
2017-08-21,5786.540039
2017-08-22,5873.330078
2017-08-23,5851.779785
2017-08-24,5834.439941
2017-08-25,5822.529785
2017-08-28,5838.080078
2017-08-29,5862.140137
2017-08-30,5932.899902
2017-08-31,5988.600098
2017-09-01,5987.899902
2017-09-05,5932.729980
2017-09-06,5951.129883
2017-09-07,5964.310059
2017-09-08,5913.370117
2017-09-11,5980.529785
2017-09-12,5995.640137
2017-09-13,6004.379883
2017-09-14,5968.819824
2017-09-15,5988.000000
2017-09-18,5981.120117
2017-09-19,5991.080078
2017-09-20,5973.609863
2017-09-21,5934.910156
2017-09-22,5932.319824
2017-09-25,5867.350098
2017-09-26,5881.339844
2017-09-27,5937.790039
2017-09-28,5933.069824
2017-09-29,5979.299805
2017-10-02,5981.919922
2017-10-03,5995.060059
2017-10-04,5998.839844
2017-10-05,6057.140137
2017-10-06,6064.569824
2017-10-09,6058.529785
2017-10-10,6063.520020
2017-10-11,6081.250000
2017-10-12,6069.990234
2017-10-13,6092.450195
2017-10-16,6114.529785
2017-10-17,6122.609863
2017-10-18,6114.350098
2017-10-19,6092.620117
2017-10-20,6108.819824
2017-10-23,6067.830078
2017-10-24,6080.220215
2017-10-25,6055.040039
2017-10-26,6037.870117
2017-10-27,6213.470215
2017-10-30,6227.589844
2017-10-31,6248.560059
2017-11-01,6248.649902
2017-11-02,6236.390137
2017-11-03,6295.580078
2017-11-06,6313.609863
2017-11-07,6320.779785
2017-11-08,6345.810059
2017-11-09,6312.209961
2017-11-10,6309.069824
2017-11-13,6316.180176
2017-11-14,6293.640137
2017-11-15,6258.359863
2017-11-16,6339.140137
2017-11-17,6314.509766
2017-11-20,6308.609863
2017-11-21,6378.629883
2017-11-22,6386.120117
2017-11-24,6409.290039
2017-11-27,6405.970215
2017-11-28,6422.560059
2017-11-29,6311.379883
2017-11-30,6365.560059
2017-12-01,6337.870117
2017-12-04,6263.700195
2017-12-05,6265.109863
2017-12-06,6293.049805
2017-12-07,6316.279785
2017-12-08,6344.569824
2017-12-11,6393.890137
2017-12-12,6383.649902
2017-12-13,6394.669922
2017-12-14,6389.910156
2017-12-15,6466.319824
2017-12-18,6513.270020
2017-12-19,6480.669922
2017-12-20,6472.479980
2017-12-21,6472.689941
2017-12-22,6465.169922
2017-12-26,6433.160156
2017-12-27,6435.149902
2017-12-28,6441.419922
2017-12-29,6396.419922
2018-01-02,6511.339844
2018-01-03,6575.799805
2018-01-04,6584.580078
2018-01-05,6653.290039
2018-01-08,6676.629883
2018-01-09,6677.939941
2018-01-10,6662.660156
2018-01-11,6708.490234
2018-01-12,6758.540039
2018-01-16,6737.140137
2018-01-17,6810.279785
2018-01-18,6811.379883
2018-01-19,6834.330078
2018-01-22,6906.279785
2018-01-23,6963.459961
2018-01-24,6919.350098
2018-01-25,6916.299805
2018-01-26,7022.970215
2018-01-29,6988.319824
2018-01-30,6930.729980
2018-01-31,6949.990234
2018-02-01,6901.500000
2018-02-02,6760.290039
2018-02-05,6495.919922
2018-02-06,6665.979980
2018-02-07,6582.020020
2018-02-08,6306.100098
2018-02-09,6412.680176
2018-02-12,6523.850098
2018-02-13,6553.859863
2018-02-14,6675.029785
2018-02-15,6794.919922
2018-02-16,6770.660156
2018-02-20,6779.689941
2018-02-21,6759.259766
2018-02-22,6761.850098
2018-02-23,6896.600098
2018-02-26,6989.100098
2018-02-27,6900.350098
2018-02-28,6854.419922
2018-03-01,6750.540039
2018-03-02,6811.040039
2018-03-05,6881.279785
2018-03-06,6913.020020
2018-03-07,6929.390137
2018-03-08,6966.430176
2018-03-09,7101.180176
2018-03-12,7131.120117
2018-03-13,7046.509766
2018-03-14,7040.979980
2018-03-15,7030.970215
2018-03-16,7019.950195
2018-03-19,6864.879883
2018-03-20,6885.919922
2018-03-21,6853.450195
2018-03-22,6682.259766
2018-03-23,6508.089844
2018-03-26,6753.830078
2018-03-27,6529.839844
2018-03-28,6460.810059
2018-03-29,6581.129883
2018-04-02,6390.839844
2018-04-03,6458.830078
2018-04-04,6560.060059
2018-04-05,6594.839844
2018-04-06,6433.209961
2018-04-09,6472.339844
2018-04-10,6615.870117
2018-04-11,6583.439941
2018-04-12,6656.259766
2018-04-13,6628.339844
2018-04-16,6675.180176
2018-04-17,6816.370117
2018-04-18,6833.209961
2018-04-19,6774.890137
2018-04-20,6667.750000
2018-04-23,6648.799805
2018-04-24,6509.049805
2018-04-25,6513.939941
2018-04-26,6649.649902
2018-04-27,6656.350098
2018-04-30,6605.569824
2018-05-01,6681.959961
2018-05-02,6644.479980
2018-05-03,6643.479980
2018-05-04,6769.120117
2018-05-07,6821.870117
2018-05-08,6815.479980
2018-05-09,6893.209961
2018-05-10,6963.549805
2018-05-11,6952.560059
2018-05-14,6964.370117
2018-05-15,6888.540039
2018-05-16,6929.970215
2018-05-17,6901.629883
2018-05-18,6866.250000
2018-05-21,6905.529785
2018-05-22,6893.620117
2018-05-23,6953.629883
2018-05-24,6949.700195
2018-05-25,6960.919922
2018-05-29,6926.540039
2018-05-30,6976.370117
2018-05-31,6967.729980
2018-06-01,7083.930176
2018-06-04,7143.569824
2018-06-05,7166.750000
2018-06-06,7210.080078
2018-06-07,7152.830078
2018-06-08,7152.620117
2018-06-11,7168.479980
2018-06-12,7209.180176
2018-06-13,7205.259766
2018-06-14,7279.589844
2018-06-15,7255.759766
2018-06-18,7251.410156
2018-06-19,7228.040039
2018-06-20,7280.700195
2018-06-21,7217.490234
2018-06-22,7197.509766
2018-06-25,7038.169922
2018-06-26,7068.200195
2018-06-27,6969.669922
2018-06-28,7031.600098
2018-06-29,7040.799805
2018-07-02,7097.819824
2018-07-03,7014.549805
2018-07-05,7101.049805
2018-07-06,7207.330078
2018-07-09,7276.000000
2018-07-10,7282.600098
2018-07-11,7243.979980
2018-07-12,7366.250000
2018-07-13,7375.819824
2018-07-16,7357.899902
2018-07-17,7403.890137
2018-07-18,7390.129883
2018-07-19,7352.359863
2018-07-20,7350.229980
2018-07-23,7371.779785
2018-07-24,7406.250000
2018-07-25,7508.589844
2018-07-26,7400.750000
2018-07-27,7296.779785
2018-07-30,7193.100098
2018-07-31,7231.979980
2018-08-01,7272.890137
2018-08-02,7372.149902
2018-08-03,7395.490234
2018-08-06,7438.990234
2018-08-07,7462.649902
2018-08-08,7469.549805
2018-08-09,7466.959961
2018-08-10,7408.299805
2018-08-13,7401.169922
2018-08-14,7447.169922
2018-08-15,7354.660156
2018-08-16,7374.290039
2018-08-17,7377.540039
2018-08-20,7371.419922
2018-08-21,7397.229980
2018-08-22,7424.600098
2018-08-23,7413.839844
2018-08-24,7485.399902
2018-08-27,7559.129883
2018-08-28,7570.250000
2018-08-29,7660.180176
2018-08-30,7642.669922
2018-08-31,7654.549805
2018-09-04,7622.319824
2018-09-05,7523.259766
2018-09-06,7453.169922
2018-09-07,7430.259766
2018-09-10,7447.680176
2018-09-11,7507.870117
2018-09-12,7488.060059
2018-09-13,7561.689941
2018-09-14,7545.500000
2018-09-17,7434.729980
2018-09-18,7494.399902
2018-09-19,7490.319824
2018-09-20,7569.029785
2018-09-21,7531.069824
2018-09-24,7548.750000
2018-09-25,7563.189941
2018-09-26,7563.089844
2018-09-27,7629.569824
2018-09-28,7627.649902
2018-10-01,7645.450195
2018-10-02,7628.279785
2018-10-03,7637.430176
2018-10-04,7490.000000
2018-10-05,7399.009766
2018-10-08,7352.819824
2018-10-09,7371.620117
2018-10-10,7044.500000
2018-10-11,6964.029785
2018-10-12,7157.209961
2018-10-15,7068.669922
2018-10-16,7276.430176
2018-10-17,7278.629883
2018-10-18,7116.089844
2018-10-19,7107.229980
2018-10-22,7141.209961
2018-10-23,7118.669922
2018-10-24,6789.149902
2018-10-25,7016.390137
2018-10-26,6852.399902
2018-10-29,6713.899902
2018-10-30,6810.120117
2018-10-31,6967.100098
2018-11-01,7069.169922
2018-11-02,6965.290039
2018-11-05,6937.089844
2018-11-06,6988.850098
2018-11-07,7203.129883
2018-11-08,7158.589844
2018-11-09,7039.149902
2018-11-12,6829.100098
2018-11-13,6830.910156
2018-11-14,6769.870117
2018-11-15,6890.450195
2018-11-16,6867.020020
2018-11-19,6642.919922
2018-11-20,6526.959961
2018-11-21,6575.660156
2018-11-23,6527.350098
2018-11-26,6678.339844
2018-11-27,6701.040039
2018-11-28,6913.330078
2018-11-29,6892.399902
2018-11-30,6949.009766
2018-12-03,7062.129883
2018-12-04,6795.209961
2018-12-06,6838.850098
2018-12-07,6613.279785
2018-12-10,6682.740234
2018-12-11,6704.240234
2018-12-12,6763.959961
2018-12-13,6767.970215
2018-12-14,6594.959961
2018-12-17,6448.390137
2018-12-18,6491.520020
2018-12-19,6342.970215
2018-12-20,6243.189941
2018-12-21,6046.560059
2018-12-24,5899.350098
2018-12-26,6262.770020
2018-12-27,6288.299805
2018-12-28,6285.270020
2018-12-31,6329.970215
2019-01-02,6360.870117
2019-01-03,6147.129883
2019-01-04,6422.669922
2019-01-07,6488.250000
2019-01-08,6551.850098
2019-01-09,6600.689941
2019-01-10,6620.939941
2019-01-11,6601.399902
2019-01-14,6541.040039
2019-01-15,6669.640137
2019-01-16,6668.560059
2019-01-17,6718.450195
2019-01-18,6784.609863
2019-01-22,6646.810059
2019-01-23,6658.759766
2019-01-24,6702.549805
2019-01-25,6787.370117
2019-01-28,6697.089844
2019-01-29,6632.790039
2019-01-30,6807.910156
2019-01-31,6906.839844
2019-02-01,6875.520020
2019-02-04,6959.959961
2019-02-05,7023.520020
2019-02-06,6997.620117
2019-02-07,6904.979980
2019-02-08,6913.129883
2019-02-11,6909.180176
2019-02-12,7014.669922
2019-02-13,7015.879883
2019-02-14,7022.419922
2019-02-15,7055.180176
2019-02-19,7066.609863
2019-02-20,7062.339844
2019-02-21,7035.160156
2019-02-22,7090.629883
2019-02-25,7115.430176
2019-02-26,7123.220215
2019-02-27,7117.000000
2019-02-28,7097.529785
2019-03-01,7151.569824
2019-03-04,7150.830078
2019-03-05,7156.790039
2019-03-06,7112.470215
2019-03-07,7026.879883
