date,close
2016-08-11,127.669998
2016-08-12,127.400002
2016-08-15,127.839996
2016-08-16,128.470001
2016-08-17,128.500000
2016-08-18,129.110001
2016-08-19,127.970001
2016-08-22,127.779999
2016-08-23,127.760002
2016-08-24,126.339996
2016-08-25,126.230003
2016-08-26,126.050003
2016-08-29,126.300003
2016-08-30,125.029999
2016-08-31,124.779999
2016-09-01,125.290001
2016-09-02,126.570000
2016-09-06,128.710007
2016-09-07,128.270004
2016-09-08,127.589996
2016-09-09,126.750000
2016-09-12,126.589996
2016-09-13,125.750000
2016-09-14,126.180000
2016-09-15,125.370003
2016-09-16,125.059998
2016-09-19,125.320000
2016-09-20,125.440002
2016-09-21,127.269997
2016-09-22,127.570000
2016-09-23,127.650002
2016-09-26,127.550003
2016-09-27,126.620003
2016-09-28,126.220001
2016-09-29,126.070000
2016-09-30,125.639999
2016-10-03,125.320000
2016-10-04,120.970001
2016-10-05,120.779999
2016-10-06,119.660004
2016-10-07,119.739998
2016-10-10,120.160004
2016-10-11,119.550003
2016-10-12,119.739998
2016-10-13,120.029999
2016-10-14,119.360001
2016-10-17,119.680000
2016-10-18,120.419998
2016-10-19,121.110001
2016-10-20,120.739998
2016-10-21,120.830002
2016-10-24,120.559998
2016-10-25,121.470001
2016-10-26,120.790001
2016-10-27,121.010002
2016-10-28,121.580002
2016-10-31,121.940002
2016-11-01,122.730003
2016-11-02,123.639999
2016-11-03,124.300003
2016-11-04,124.389999
2016-11-07,122.150002
2016-11-08,121.639999
2016-11-09,121.559998
2016-11-10,119.750000
2016-11-11,117.099998
2016-11-14,116.110001
2016-11-15,117.120003
2016-11-16,116.769997
2016-11-17,116.169998
2016-11-18,115.150002
2016-11-21,115.580002
2016-11-22,115.540001
2016-11-23,113.250000
2016-11-25,112.610001
2016-11-28,113.800003
2016-11-29,113.269997
2016-11-30,111.750000
2016-12-01,111.540001
2016-12-02,112.139999
2016-12-05,111.540001
2016-12-06,111.430000
2016-12-07,111.830002
2016-12-08,111.570000
2016-12-09,110.400002
2016-12-12,110.820000
2016-12-13,110.449997
2016-12-14,108.830002
2016-12-15,107.339996
2016-12-16,108.050003
2016-12-19,108.589996
2016-12-20,107.790001
2016-12-21,107.849998
2016-12-22,107.589996
2016-12-23,107.930000
2016-12-27,108.559998
2016-12-28,108.860001
2016-12-29,110.290001
2016-12-30,109.610001
2017-01-03,110.470001
2017-01-04,110.860001
2017-01-05,112.580002
2017-01-06,111.750000
2017-01-09,112.669998
2017-01-10,113.150002
2017-01-11,113.500000
2017-01-12,113.910004
2017-01-13,114.209999
2017-01-17,115.849998
2017-01-18,114.870003
2017-01-19,114.769997
2017-01-20,115.050003
2017-01-23,115.790001
2017-01-24,115.269997
2017-01-25,114.320000
2017-01-26,113.260002
2017-01-27,113.489998
2017-01-30,113.970001
2017-01-31,115.550003
2017-02-01,115.199997
2017-02-02,115.839996
2017-02-03,116.129997
2017-02-06,117.699997
2017-02-07,117.459999
2017-02-08,118.190002
2017-02-09,117.290001
2017-02-10,117.599998
2017-02-13,116.800003
2017-02-14,116.930000
2017-02-15,117.449997
2017-02-16,118.080002
2017-02-17,117.680000
